LGA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,4027,2545,1375,520,24558
LGA10130,2442,1663,821,297,14466
LGA10250,4470,3241,1652,850,21764
LGA10300,167,72,46,15,807
LGA10470,3331,2262,1011,435,20390
LGA10550,4038,2930,1356,535,16884
LGA10600,1558,1039,499,153,6517
LGA10650,712,600,326,136,3756
LGA10750,18614,9729,3759,1241,147438
LGA10800,441,272,179,106,2493
LGA10850,611,417,179,56,3324
LGA10900,8924,6336,2565,883,42967
LGA10950,143,102,66,24,1058
LGA11100,2527,1392,790,305,23546
LGA11150,163,98,55,18,1156
LGA11200,93,31,10,8,595
LGA11250,1384,897,489,305,7572
LGA11300,2177,1220,700,391,19684
LGA11350,4049,2305,702,335,18261
LGA11400,1071,818,328,98,6092
LGA11450,4282,2491,1028,515,35063
LGA11500,9995,5723,2041,773,66495
LGA11520,6441,3972,1676,818,50494
LGA11570,17378,9650,5261,2534,143422
LGA11600,186,77,38,21,1092
LGA11650,26191,19634,10777,5143,155541
LGA11700,135,85,28,0,755
LGA11720,3933,2660,1121,427,23899
LGA11730,5072,3723,1807,693,23508
LGA11750,299,121,77,19,1960
LGA11800,6967,4737,2385,1122,35554
LGA12000,322,252,136,47,1883
LGA12150,257,196,87,35,1609
LGA12350,1013,779,394,139,5291
LGA12380,9669,5231,2568,1143,90065
LGA12700,876,562,270,91,4296
LGA12730,755,486,267,111,3970
LGA12750,4363,3924,1903,704,19108
LGA12850,8921,5093,2369,936,65179
LGA12870,986,871,504,199,5404
LGA12900,701,511,294,82,4073
LGA12930,9922,5882,3079,1495,74201
LGA12950,302,205,133,54,1726
LGA13010,759,643,306,129,3998
LGA13310,2392,1787,883,423,14169
LGA13340,950,621,246,106,4621
LGA13450,1577,883,513,301,10601
LGA13510,897,686,416,137,4751
LGA13550,851,528,308,105,5163
LGA13660,373,323,156,66,2142
LGA13800,4877,2941,1264,408,30390
LGA13850,196,143,87,25,1190
LGA13910,1378,1166,513,189,7775
LGA14000,12995,8296,4385,2373,79935
LGA14100,1306,1050,539,512,7860
LGA14170,13053,7030,2724,1114,109491
LGA14200,1243,938,492,155,6952
LGA14300,502,315,117,35,3207
LGA14350,2854,2014,995,419,13367
LGA14400,2595,1898,892,373,12184
LGA14500,11111,8064,4758,2634,67950
LGA14550,1051,628,245,83,4029
LGA14600,397,257,156,59,2364
LGA14650,16551,12312,6422,2851,95196
LGA14700,2971,2020,923,434,22200
LGA14750,759,503,280,98,4557
LGA14850,4532,2587,1072,494,21610
LGA14870,1789,1416,650,219,9919
LGA14900,10172,5295,2224,759,82767
LGA14920,597,427,225,66,3151
LGA14950,285,165,110,41,1371
LGA15050,5156,3146,1480,562,34372
LGA15240,8876,8083,4087,1643,42504
LGA15270,1920,1488,677,188,11165
LGA15300,847,540,287,66,5519
LGA15350,2832,2278,1060,550,17816
LGA15520,932,726,408,136,5026
LGA15560,250,160,88,20,1549
LGA15650,934,529,239,81,6619
LGA15700,2065,1562,765,350,9069
LGA15750,916,545,300,116,5424
LGA15800,437,338,172,94,2446
LGA15850,453,332,171,55,2631
LGA15900,12057,7183,3750,2239,79803
LGA15950,5929,4485,1893,667,47957
LGA15990,21014,14700,7704,3862,141119
LGA16100,402,410,141,38,2458
LGA16150,2854,1960,1044,379,18967
LGA16200,1071,727,399,168,6321
LGA16260,14580,8623,4235,1765,125047
LGA16350,11969,6581,2566,894,84713
LGA16380,7321,6411,3569,1513,38883
LGA16400,6022,5289,2504,886,33587
LGA16490,4591,2502,933,286,28434
LGA16550,9282,5888,2910,1536,82232
LGA16610,1781,1289,661,216,9351
LGA16650,6060,3747,2185,1331,56058
LGA16700,8277,4854,2557,1389,66186
LGA16900,4947,3094,1489,661,30609
LGA16950,9754,8296,4221,1638,49682
LGA17000,1598,851,373,120,10387
LGA17040,1935,1335,626,216,10520
LGA17080,1207,858,430,205,6449
LGA17100,2428,1334,713,312,22019
LGA17150,18983,11816,5862,2935,115033
LGA17200,11826,6999,2807,988,145559
LGA17310,4674,3185,1596,563,27080
LGA17350,463,335,176,45,2447
LGA17400,728,568,231,90,3039
LGA17420,13328,8412,3048,931,82063
LGA17550,8468,6301,3664,1753,44134
LGA17620,1054,671,341,173,6298
LGA17640,748,576,260,80,3712
LGA17650,626,471,159,45,2985
LGA17750,4552,2685,1294,514,28986
LGA17850,264,251,95,53,1434
LGA17900,455,352,159,22,2400
LGA17950,190,127,65,23,1093
LGA18020,814,648,332,119,4052
LGA18050,4476,3075,1575,863,43351
LGA18100,317,286,125,53,1595
LGA18200,523,380,165,57,2994
LGA18230,3691,2231,1141,439,23179
LGA18250,5706,3612,1738,909,43319
LGA18350,4695,4590,2345,791,25195
LGA18400,3762,2046,907,317,22487
LGA18450,15680,9988,5342,2153,100292
LGA18500,4790,4188,1962,930,34973
LGA18710,1483,962,421,186,8167
LGA19399,92,50,18,13,499
LGA19499,1142,722,150,41,7741
LGA19799,43,60,25,3,212
